Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Sam Lafferty,29,C,60,4,3,7,-15,28,4,0,0,0,3,0,0,50,8,93,9:53,79,77,50.6,16,89,5,22
Hampus Lindholm,31,D,17,3,4,7,-4,4,3,0,0,1,3,1,0,35,8.6,81,20:51,0,0,,17,5,14,30
Anthony Mantha,30,RW,13,4,3,7,6,11,2,1,1,1,3,0,0,15,26.7,35,13:54,3,6,33.3,8,16,3,7
Mikael Pyyhtia,23,LW,47,4,3,7,-11,6,3,0,1,0,3,0,0,32,12.5,71,12:06,2,1,66.7,39,25,9,26
Max Sasson,24,F,29,3,4,7,1,0,3,0,0,0,4,0,0,31,9.7,46,10:20,47,63,42.7,13,18,6,12
Troy Stecher,30,D,66,3,4,7,-2,27,3,0,0,0,4,0,0,55,5.5,133,13:52,0,0,,66,35,11,50
Tyler Tucker,24,D,38,3,4,7,4,55,3,0,0,0,3,0,1,33,9.1,98,14:35,0,0,,39,81,13,28
Parker Wotherspoon,27,D,55,1,6,7,-10,10,1,0,0,0,6,0,0,44,2.3,103,18:02,0,0,,66,75,15,68
Noah Gregor,26,C,52,4,3,7,-21,28,3,0,1,2,3,0,0,60,6.7,145,11:06,4,3,57.1,33,94,7,17
Vladislav Kolyachonok,23,D,35,2,5,7,-12,10,2,0,0,1,5,0,0,20,10,57,13:01,0,0,,31,27,6,32
Luke Schenn,35,D,76,1,6,7,-4,45,1,0,0,0,6,0,0,77,1.3,197,15:57,0,0,,104,300,16,63
Daniel Sprong,27,RW,30,2,5,7,-1,2,1,1,0,1,4,1,0,55,3.6,112,12:12,0,4,0,4,32,4,14
Nils Åman,24,C,19,1,5,6,-2,2,1,0,0,0,5,0,0,8,12.5,20,10:29,28,46,37.8,2,22,3,3
Ethan Del Mastro,22,D,24,2,4,6,-3,6,2,0,0,0,4,0,0,19,10.5,50,18:19,0,0,,21,40,6,25
Nick DeSimone,30,D,20,1,5,6,4,0,1,0,0,0,5,0,0,24,4.2,49,15:35,0,0,,14,14,5,25
Phillip Di Giuseppe,31,LW,20,1,5,6,-2,4,1,0,0,0,5,0,0,23,4.3,38,11:34,1,4,20,6,54,1,4
Zemgus Girgensons,31,C,82,2,4,6,-7,47,2,0,0,1,4,0,0,83,2.4,157,11:40,61,68,47.3,50,174,10,30
David Gustafsson,24,C,36,2,4,6,10,7,2,0,0,0,4,0,0,30,6.7,58,8:59,99,99,50,18,19,2,7
Jansen Harkins,27,C,62,2,4,6,-13,21,2,0,0,1,4,0,0,49,4.1,93,10:56,117,102,53.4,41,136,15,38
Matthew Highmore,28,LW,41,2,4,6,-5,10,2,0,0,1,4,0,0,33,6.1,66,11:10,5,14,26.3,19,50,4,23
Jack Johnson,38,D,41,0,6,6,-13,2,0,0,0,0,6,0,0,23,0,60,12:52,0,0,,35,21,8,19
Linus Karlsson,25,C,23,3,3,6,5,6,2,1,0,1,2,1,0,28,10.7,57,10:56,1,4,20,8,27,3,6
Jonathan Lekkerimaki,20,RW,24,3,3,6,-6,2,3,0,0,0,1,2,0,30,10,57,12:30,0,1,0,6,16,4,8
Artyom Levshunov,19,D,18,0,6,6,-13,8,0,0,0,0,4,2,0,21,0,66,20:19,0,0,,20,19,4,26
Jonathon Merrill,32,D,70,2,4,6,-8,20,2,0,0,0,4,0,0,47,4.3,111,14:06,0,0,,85,41,14,64
Scott Morrow,22,D,14,1,5,6,4,0,1,0,0,0,5,0,0,23,4.3,61,15:48,0,0,,16,3,5,21
Nikita Nesterenko,23,C,20,4,2,6,-4,2,4,0,0,0,2,0,0,20,20,41,10:19,0,3,0,7,46,2,7
Jani Nyman,20,RW,12,3,3,6,-3,4,1,2,0,0,2,1,0,22,13.6,48,13:59,1,0,100,7,13,2,5
Anthony Richard,28,C,15,2,4,6,-3,0,2,0,0,0,3,1,0,19,10.5,36,12:22,0,2,0,8,8,3,6
Derek Ryan,38,C,36,1,5,6,-4,12,1,0,0,0,5,0,0,20,5,42,9:21,151,99,60.4,21,25,9,11
Landon Slaggert,22,LW,33,2,4,6,-7,23,2,0,0,1,4,0,0,34,5.9,60,12:18,0,1,0,13,25,9,12
Brendan Smith,35,D,32,1,5,6,-9,33,0,0,1,0,5,0,0,27,3.7,80,13:13,0,0,,23,41,7,28
Arber Xhekaj,24,D,70,1,5,6,-13,118,1,0,0,0,5,0,0,69,1.4,175,14:37,0,0,,63,180,16,59
Dennis Gilbert,28,D,29,0,6,6,-3,50,0,0,0,0,6,0,0,9,0,30,10:29,0,0,,36,63,6,13
Oliver Wahlstrom,24,RW,43,3,3,6,-6,37,3,0,0,1,2,1,0,54,5.6,105,10:14,6,2,75,30,34,5,11
Rodrigo Abols,29,C,22,2,3,5,-10,4,2,0,0,0,3,0,0,25,8,48,9:11,66,47,58.4,12,25,4,14
Isaiah George,20,D,33,1,4,5,-3,6,1,0,0,1,4,0,0,26,3.8,74,15:39,0,0,,34,14,6,26
Jordan Harris,24,D,33,1,4,5,-1,6,1,0,0,0,4,0,0,15,6.7,39,11:23,0,0,,35,23,4,16
Tyson Kozak,22,C,21,3,2,5,-2,2,2,1,0,0,2,0,0,11,27.3,35,10:29,67,78,46.2,23,26,2,10
Curtis Lazar,29,C,48,2,3,5,-6,14,2,0,0,0,3,0,0,27,7.4,51,10:34,205,195,51.3,17,107,3,11
Nick Leddy,33,D,31,2,3,5,6,2,2,0,0,0,3,0,0,21,9.5,50,18:40,0,0,,26,5,11,43
Vinni Lettieri,29,C,26,3,2,5,-9,6,3,0,0,0,2,0,0,52,5.8,95,13:31,11,11,50,16,60,10,6
Nils Lundkvist,24,D,39,0,5,5,4,20,0,0,0,0,5,0,0,52,0,145,15:01,0,0,,34,23,6,31
Olle Lycksell,25,RW,19,0,5,5,-3,2,0,0,0,0,4,1,0,10,0,34,11:53,2,2,50,5,9,4,17
Philippe Myers,28,D,36,2,3,5,0,15,2,0,0,0,3,0,0,46,4.3,121,16:14,0,0,,42,76,13,45
Liam Ohgren,21,LW,24,2,3,5,-6,2,2,0,0,1,2,1,0,32,6.3,66,11:06,0,0,,12,24,5,9
Sam Rinzel,20,D,9,0,5,5,1,0,0,0,0,0,2,3,0,22,0,51,23:22,0,0,,5,12,2,13
Ryan Shea,27,D,39,2,3,5,-9,14,2,0,0,0,2,1,0,19,10.5,65,16:44,0,0,,51,20,14,35
Devin Shore,30,C,55,1,4,5,-8,6,1,0,0,0,4,0,0,41,2.4,77,8:39,51,52,49.5,37,76,7,14
Juuso Välimäki,26,D,43,2,3,5,-5,14,2,0,0,0,3,0,0,40,5,109,16:33,0,0,,49,23,11,40
Adam Wilsby,24,D,23,1,4,5,3,6,1,0,0,0,4,0,0,33,3,75,18:06,0,0,,17,18,10,24
Oliver Kylington,27,D,19,1,4,5,-2,8,1,0,0,0,4,0,0,6,16.7,31,12:18,0,0,,18,3,5,15
Fraser Minten,20,C,21,3,2,5,-5,2,3,0,0,1,1,1,0,24,12.5,52,13:01,77,91,45.8,10,48,2,10
Erik Johnson,36,D,36,2,3,5,1,15,2,0,0,0,2,0,1,37,5.4,78,14:35,0,0,,26,59,16,26
Kieffer Bellows,26,LW,19,2,2,4,-6,6,2,0,0,1,0,2,0,28,7.1,57,10:40,2,1,66.7,6,35,3,10
Lucas Carlsson,27,D,13,1,3,4,-2,14,1,0,0,1,3,0,0,15,6.7,40,19:22,0,0,,14,4,6,6
Louis Crevier,23,D,32,3,1,4,-6,10,3,0,0,0,1,0,0,28,10.7,72,17:17,0,0,,49,70,4,30
Hudson Fasching,29,RW,43,2,2,4,-4,6,2,0,0,0,2,0,0,51,3.9,90,11:05,2,8,20,17,28,9,27
Jonah Gadjovich,26,LW,42,4,0,4,-7,60,4,0,0,2,0,0,0,43,9.3,89,8:27,3,2,60,21,127,2,4
Ryan Graves,29,D,61,1,3,4,-15,29,1,0,0,0,3,0,0,39,2.6,134,14:59,0,0,,73,75,18,63
Erik Gudbranson,33,D,16,0,4,4,1,6,0,0,0,0,4,0,0,12,0,40,17:46,0,0,,19,26,3,16
Juha Jaaska,26,F,18,0,4,4,0,9,0,0,0,0,3,0,1,11,0,28,8:56,16,15,51.6,3,20,1,8
Ross Johnston,30,LW,43,1,3,4,-2,72,1,0,0,1,3,0,0,9,11.1,31,8:41,0,2,0,20,134,3,18
Arthur Kaliyev,23,RW,14,3,1,4,2,2,3,0,0,0,1,0,0,21,14.3,35,11:13,0,0,,2,7,0,4
Rory Kerins,22,C,5,0,4,4,3,0,0,0,0,0,3,1,0,3,0,13,12:14,2,4,33.3,2,4,0,5
John Klingberg,32,D,11,1,3,4,0,8,1,0,0,0,3,0,0,19,5.3,39,17:15,0,0,,13,5,1,14
Logan Mailloux,21,D,7,2,2,4,-5,6,2,0,0,0,2,0,0,10,20,22,16:12,0,0,,8,9,0,4
Nikolas Matinpalo,26,D,41,1,3,4,-2,20,1,0,0,0,3,0,0,43,2.3,94,12:37,0,0,,29,25,8,31
Ivan Miroshnichenko,20,LW,18,1,3,4,1,0,1,0,0,0,2,1,0,14,7.1,32,9:21,0,0,,8,28,3,11
Oliver Moore,20,C,9,0,4,4,-2,4,0,0,0,0,4,0,0,10,0,16,13:35,11,16,40.7,2,6,1,11
Simon Nemec,20,D,27,2,2,4,-10,14,2,0,0,1,0,2,0,26,7.7,63,14:59,0,0,,26,2,5,24
Zack Ostapchuk,21,C,56,1,3,4,-8,45,1,0,0,0,3,0,0,26,3.8,53,9:25,137,145,48.6,21,110,8,19
Jimmy Snuggerud,20,RW,7,1,3,4,0,0,0,1,0,0,3,0,0,10,10,27,15:28,0,0,,4,3,4,7
Tyson Barrie,33,D,13,1,2,3,-7,4,1,0,0,0,0,2,0,19,5.3,40,15:48,0,0,,12,10,2,11
Kyle Burroughs,29,D,33,0,3,3,3,39,0,0,0,0,3,0,0,6,0,28,7:49,0,0,,14,42,3,19
Nikita Chibrikov,21,RW,4,2,1,3,1,0,2,0,0,0,0,1,0,6,33.3,10,11:24,0,0,,4,9,1,3
Vincent Desharnais,28,D,51,0,3,3,-9,45,0,0,0,0,3,0,0,28,0,92,15:55,0,0,,83,87,3,40
Nicolas Deslauriers,33,LW,31,2,1,3,-9,15,2,0,0,0,1,0,0,25,8,55,7:38,1,2,33.3,9,85,1,9
Dryden Hunt,29,LW,5,0,3,3,-1,0,0,0,0,0,3,0,0,5,0,8,11:39,2,0,100,3,10,2,4
Matthew Kessel,24,D,29,0,3,3,-3,10,0,0,0,0,3,0,0,17,0,55,13:08,0,0,,23,22,6,31
Pyotr Kochetkov,25,G,47,0,3,3,0,8,0,0,0,0,2,1,0,1,0,1,59:23:00,0,0,,0,0,0,17
Maveric Lamoureux,21,D,15,1,2,3,3,42,1,0,0,0,2,0,0,17,5.9,41,16:07,0,0,,11,18,3,16
Andre Lee,24,LW,19,1,2,3,-5,11,1,0,0,1,2,0,0,18,5.6,31,9:10,0,0,,10,36,4,8
Cameron Lund,20,C,11,2,1,3,-10,4,1,1,0,0,1,0,0,12,16.7,19,11:30,2,1,66.7,2,7,1,2
Fabian Lysell,22,RW,12,1,2,3,-4,6,0,1,0,1,2,0,0,21,4.8,38,13:27,0,0,,2,5,2,3
Zack MacEwen,28,C,21,2,1,3,0,21,2,0,0,0,1,0,0,26,7.7,47,7:46,6,8,42.9,7,49,3,7
Rutger McGroarty,20,RW,8,1,2,3,0,0,1,0,0,0,2,0,0,11,9.1,22,14:37,0,1,0,5,12,2,5
Alex Nedeljkovic,29,G,38,1,2,3,0,2,1,0,0,0,1,1,0,1,100,1,56:36:00,0,0,,0,0,0,13
Matthew Nieto,32,LW,32,1,2,3,-8,4,1,0,0,0,1,1,0,31,3.2,46,12:15,2,3,40,20,39,1,19
Elias Pettersson,20,D,28,1,2,3,-4,17,1,0,0,0,2,0,0,19,5.3,68,12:49,0,0,,16,39,1,24
Owen Pickering,21,D,25,1,2,3,-5,6,1,0,0,0,2,0,0,15,6.7,51,14:49,0,0,,19,13,5,11
Valtteri Puustinen,25,RW,13,2,1,3,-4,4,0,2,0,0,1,0,0,8,25,16,9:54,0,0,,5,10,3,4
Ilya Sorokin,29,G,61,1,2,3,0,2,1,0,0,0,2,0,0,0,,0,57:21:00,0,0,,0,0,0,5
Spencer Stastney,25,D,23,0,3,3,-7,4,0,0,0,0,3,0,0,15,0,43,16:11,0,0,,24,8,5,20
Mitchell Stephens,27,C,28,1,2,3,-8,6,1,0,0,0,2,0,0,19,5.3,37,9:14,104,90,53.6,4,25,1,8
Akil Thomas,25,C,25,1,2,3,-4,7,1,0,0,0,2,0,0,20,5,36,9:55,18,23,43.9,12,42,1,5
Marc-Édouard Vlasic,37,D,27,1,2,3,-10,2,1,0,0,0,1,0,1,20,5,52,14:38,0,0,,40,4,4,26
Austin Watson,33,LW,13,3,0,3,1,17,3,0,0,0,0,0,0,13,23.1,23,7:51,2,1,66.7,2,36,1,5
Dustin Wolf,23,G,53,0,3,3,0,2,0,0,0,0,2,1,0,0,,0,60:03:00,0,0,,0,0,0,19
Kailer Yamamoto,26,RW,12,2,1,3,-1,2,1,1,0,0,0,1,0,13,15.4,26,12:07,2,0,100,4,9,1,8
Walker Duehr,27,F,24,2,1,3,-11,0,2,0,0,0,1,0,0,15,13.3,33,8:48,1,8,11.1,15,49,0,12
Andreas Englund,29,D,35,1,2,3,-9,48,1,0,0,0,2,0,0,17,5.9,43,13:16,0,0,,40,78,6,23
David Jiříček,21,D,12,1,2,3,0,6,1,0,0,0,2,0,0,9,11.1,25,12:07,0,0,,7,12,3,15
Pierre-Olivier Joseph,25,D,47,0,3,3,-22,45,0,0,0,0,3,0,0,42,0,122,15:16,0,0,,36,36,20,53
Marc McLaughlin,25,F,14,2,1,3,-2,0,2,0,0,0,1,0,0,13,15.4,24,9:12,14,18,43.8,6,28,2,6
Nicolas Aubé-Kubel,28,RW,22,1,1,2,-5,19,1,0,0,0,1,0,0,18,5.6,42,9:25,5,3,62.5,3,40,9,12
Robert Bortuzzo,35,D,17,0,2,2,-2,22,0,0,0,0,2,0,0,8,0,18,10:57,0,0,,26,21,0,18
Luca Cagnoni,20,D,6,0,2,2,-4,8,0,0,0,0,1,1,0,7,0,23,17:39,0,0,,9,1,2,5
Joey Daccord,28,G,57,0,2,2,0,0,0,0,0,0,1,0,1,1,0,2,57:49:00,0,0,,0,0,0,25
Ivan Demidov,19,RW,2,1,1,2,1,0,1,0,0,0,1,0,0,5,20,10,13:43,0,1,0,0,2,0,1
Filip Gustavsson,26,G,58,1,1,2,0,0,0,1,0,0,0,1,0,2,50,2,59:02:00,0,0,,0,0,0,14
John Hayden,29,C,20,1,1,2,0,31,1,0,0,0,1,0,0,20,5,38,8:31,31,27,53.4,19,44,3,5
Ben Hutton,31,D,11,0,2,2,0,0,0,0,0,0,2,0,0,11,0,28,13:14,0,0,,19,10,0,4
Grant Hutton,29,D,13,0,2,2,1,4,0,0,0,0,2,0,0,10,0,20,13:28,0,0,,12,13,2,8
Connor Ingram,27,G,22,0,2,2,0,4,0,0,0,0,2,0,0,0,,0,55:00:00,0,0,,0,0,0,11
Tyler Johnson,34,C,9,0,2,2,-1,10,0,0,0,0,1,1,0,6,0,16,13:05,7,4,63.6,2,5,0,2
Max Jones,26,LW,26,1,1,2,-13,18,1,0,0,0,1,0,0,17,5.9,44,9:23,0,0,,8,71,1,8
Oliver Kapanen,21,C,18,0,2,2,-5,2,0,0,0,0,1,1,0,16,0,36,10:53,24,32,42.9,8,1,1,8
Spencer Knight,23,G,38,0,2,2,0,0,0,0,0,0,2,0,0,0,,0,57:58:00,0,0,,0,0,0,20
Kevin Korchinski,20,D,16,1,1,2,-5,8,1,0,0,0,1,0,0,14,7.1,32,17:05,0,0,,14,2,4,14
John Ludvig,24,D,8,0,2,2,-4,6,0,0,0,0,2,0,0,9,0,13,12:57,0,0,,6,16,1,5
Matt Martin,35,LW,32,0,2,2,-5,10,0,0,0,0,2,0,0,17,0,39,8:33,8,7,53.3,19,82,3,15
Dylan McIlrath,32,D,17,0,2,2,-3,28,0,0,0,0,2,0,0,10,0,36,11:39,0,0,,14,38,3,17
Keaton Middleton,26,D,41,0,2,2,0,28,0,0,0,0,2,0,0,44,0,111,11:29,0,0,,37,69,7,27
Liam O'Brien,30,C,28,0,2,2,1,50,0,0,0,0,2,0,0,34,0,73,9:18,0,4,0,11,100,2,8
Brennan Othmann,22,LW,22,0,2,2,7,2,0,0,0,0,2,0,0,20,0,49,9:58,0,3,0,7,43,1,6
Noah Philp,26,F,15,0,2,2,1,2,0,0,0,0,2,0,0,17,0,35,9:05,40,62,39.2,7,15,1,8
Ryan Reaves,38,RW,35,0,2,2,-2,28,0,0,0,0,2,0,0,14,0,31,7:48,0,1,0,8,103,4,10
Mike Reilly,31,D,18,0,2,2,-3,2,0,0,0,0,2,0,0,31,0,68,15:10,0,0,,14,3,2,16
Cole Reinhardt,24,LW,17,1,1,2,-4,15,1,0,0,0,1,0,0,13,7.7,22,8:12,1,0,100,2,37,1,7
Justin Robidas,21,C,2,1,1,2,1,0,1,0,0,0,1,0,0,3,33.3,7,11:09,8,10,44.4,0,2,0,1
Joshua Roy,21,RW,12,2,0,2,-6,2,2,0,0,0,0,0,0,14,14.3,30,11:01,1,0,100,8,6,3,5
Michael Sgarbossa,32,C,3,1,1,2,2,2,1,0,0,0,1,0,0,1,100,4,9:20,9,11,45,1,1,0,0
Ty Smith,24,D,8,1,1,2,1,4,0,1,0,0,1,0,0,14,7.1,26,13:40,0,0,,5,2,1,3
Alex Steeves,25,F,7,1,1,2,3,0,1,0,0,0,1,0,0,7,14.3,12,9:53,0,0,,1,19,0,0
Linus Ullmark,31,G,44,0,2,2,0,0,0,0,0,0,2,0,0,0,,1,56:04:00,0,0,,0,0,0,5
Andrei Vasilevskiy,30,G,63,0,2,2,0,8,0,0,0,0,2,0,0,0,,1,59:25:00,0,0,,0,0,0,23
Wyatt Aamodt,27,D,2,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,6,17:07,0,0,,9,6,1,3
Frederik Andersen,35,G,22,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,59:59:00,0,0,,0,0,0,11
Joey Anderson,26,RW,18,0,1,1,-2,0,0,0,0,0,1,0,0,17,0,31,12:24,3,2,60,13,12,8,4
Jaret Anderson-Dolan,25,C,7,0,1,1,3,4,0,0,0,0,1,0,0,8,0,12,9:56,1,1,50,6,23,1,2
Yaroslav Askarov,22,G,13,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,55:08:00,0,0,,0,0,0,6
Andreas Athanasiou,30,C,8,1,0,1,-1,0,1,0,0,0,0,0,0,8,12.5,15,10:02,26,30,46.4,6,6,2,2
Arshdeep Bains,24,F,13,1,0,1,-5,0,1,0,0,1,0,0,0,8,12.5,16,10:30,3,1,75,7,17,1,4
Owen Beck,20,C,12,0,1,1,-2,0,0,0,0,0,1,0,0,10,0,18,9:59,21,18,53.8,8,23,1,11
Emil Bemström,25,C,14,0,1,1,0,0,0,0,0,0,1,0,0,13,0,25,8:20,2,1,66.7,3,12,1,5
Clark Bishop,28,C,6,1,0,1,-2,0,1,0,0,0,0,0,0,4,25,4,7:15,7,11,38.9,2,8,1,2
Mackenzie Blackwood,28,G,56,0,1,1,0,2,0,0,0,0,0,1,0,1,0,1,57:34:00,0,0,,0,0,0,11
Matěj Blümel,24,RW,7,1,0,1,-1,0,1,0,0,0,0,0,0,10,10,15,8:26,0,0,,1,6,1,2
Sergei Bobrovsky,36,G,54,0,1,1,0,4,0,0,0,0,0,1,0,3,0,3,59:16:00,0,0,,0,0,0,20
Skyler Brind'Amour,25,C,2,1,0,1,-3,2,1,0,0,0,0,0,0,1,100,5,16:35,17,8,68,1,1,0,4
Josh Brown,31,D,10,0,1,1,-2,11,0,0,0,0,1,0,0,9,0,18,12:37,0,0,,18,21,0,3
Patrick Brown,32,C,15,0,1,1,-2,8,0,0,0,0,1,0,0,11,0,22,10:34,20,24,45.5,12,46,3,10
Callahan Burke,27,C,7,1,0,1,2,2,1,0,0,0,0,0,0,12,8.3,17,10:50,1,0,100,3,0,0,3
Drake Caggiula,30,LW,7,0,1,1,0,5,0,0,0,0,1,0,0,6,0,9,7:18,1,0,100,3,8,0,3
Michael Callahan,25,D,17,1,0,1,-5,7,1,0,0,0,0,0,0,9,11.1,29,14:09,0,0,,12,8,1,11
Ethan Cardwell,22,RW,6,1,0,1,-2,2,1,0,0,0,0,0,0,5,20,11,11:32,1,1,50,3,8,1,5
Declan Carlile,24,D,3,1,0,1,2,0,1,0,0,0,0,0,0,3,33.3,8,13:00,0,0,,2,1,0,3
Lucas Condotta,27,F,7,1,0,1,-2,0,1,0,0,0,0,0,0,5,20,10,8:12,17,12,58.6,3,10,0,2
Angus Crookshank,25,LW,8,0,1,1,-1,0,0,0,0,0,1,0,0,9,0,21,9:50,1,2,33.3,4,11,0,6
Casey DeSmith,33,G,27,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,55:43:00,0,0,,0,0,0,3
Dylan Duke,21,LW,2,1,0,1,0,0,1,0,0,0,0,0,0,1,100,1,7:52,0,0,,0,5,0,0
John Farinacci,23,C,1,1,0,1,1,0,1,0,0,0,0,0,0,1,100,1,10:58,6,2,75,0,3,0,0
Cale Fleury,26,D,14,0,1,1,1,0,0,0,0,0,1,0,0,16,0,34,12:52,0,0,,28,30,5,10
Nolan Foote,24,LW,7,0,1,1,0,0,0,0,0,0,1,0,0,5,0,15,9:49,1,1,50,1,11,1,2
Parker Ford,24,F,3,1,0,1,1,2,1,0,0,0,0,0,0,2,50,4,7:50,0,0,,1,5,2,2
Brendan Gaunce,30,C,12,0,1,1,-4,4,0,0,0,0,1,0,0,11,0,25,9:42,39,42,48.1,7,18,2,7
Alexandar Georgiev,28,G,49,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,54:32:00,0,0,,0,0,0,17
John Gibson,31,G,29,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,53:52:00,0,0,,0,0,0,10
Patrick Giles,25,F,17,1,0,1,-3,0,1,0,0,0,0,0,0,15,6.7,21,9:14,33,64,34,7,21,1,8
Helge Grans,22,D,6,0,1,1,0,2,0,0,0,0,1,0,0,5,0,13,14:28,0,0,,5,4,2,8
Kevin Gravel,32,D,6,0,1,1,3,0,0,0,0,0,1,0,0,6,0,19,17:50,0,0,,8,7,0,7
Daniil Gushchin,22,LW,12,0,1,1,-3,6,0,0,0,0,1,0,0,16,0,41,12:18,1,0,100,6,6,0,1
Mike Hardman,25,RW,2,0,1,1,0,0,0,0,0,0,1,0,0,2,0,4,9:03,0,1,0,3,4,0,0
Ville Heinola,23,D,18,0,1,1,6,4,0,0,0,0,1,0,0,12,0,38,14:11,0,0,,16,8,7,15
Connor Hellebuyck,31,G,63,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,59:23:00,0,0,,0,0,0,18
Joel Hofer,24,G,31,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,54:09:00,0,0,,0,0,0,19
Justin Hryckowian,23,F,5,0,1,1,1,0,0,0,0,0,1,0,0,3,0,4,7:53,3,2,60,0,8,0,2
Arttu Hyry,23,F,5,0,1,1,0,0,0,0,0,0,1,0,0,5,0,8,9:05,11,5,68.8,3,4,1,1
Bokondji Imama,28,LW,16,1,0,1,2,30,1,0,0,1,0,0,0,10,10,13,5:40,0,0,,7,45,0,3
Tristan Jarry,29,G,36,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,56:07:00,0,0,,0,0,0,13
Matt Kiersted,26,D,2,0,1,1,1,2,0,0,0,0,1,0,0,0,,2,12:41,0,0,,1,3,0,1
Joona Koppanen,26,LW,11,1,0,1,-3,0,1,0,0,0,0,0,0,10,10,16,13:23,18,28,39.1,3,40,0,11
Darcy Kuemper,34,G,50,0,1,1,0,12,0,0,0,0,1,0,0,0,,1,59:28:00,0,0,,0,0,0,9
Joseph LaBate,31,C,6,0,1,1,1,10,0,0,0,0,1,0,0,3,0,5,9:06,0,2,0,11,14,0,1
Tanner Laczynski,27,C,8,1,0,1,-1,6,1,0,0,0,0,0,0,2,50,6,8:36,16,21,43.2,3,3,0,0
William Lagesson,28,D,7,0,1,1,-1,4,0,0,0,0,1,0,0,5,0,10,14:34,0,0,,7,6,0,7
Brad Lambert,21,C,5,0,1,1,0,2,0,0,0,0,1,0,0,1,0,9,11:36,5,10,33.3,4,5,0,1
Kevin Lankinen,29,G,51,0,1,1,0,0,0,0,0,0,0,1,0,0,,0,59:13:00,0,0,,0,0,0,12
Jeremy Lauzon,27,D,28,0,1,1,-4,37,0,0,0,0,1,0,0,25,0,70,17:58,0,0,,34,127,4,19
Ryan Leonard,20,RW,9,1,0,1,-4,11,1,0,0,0,0,0,0,17,5.9,31,14:11,1,0,100,4,18,4,6
Ukko-Pekka Luukkonen,25,G,55,0,1,1,0,2,0,0,0,0,1,0,0,0,,0,57:41:00,0,0,,0,0,0,9
Jeff Malott,28,F,12,0,1,1,-1,7,0,0,0,0,1,0,0,13,0,28,10:17,1,1,50,7,19,2,4
Georgii Merkulov,24,F,6,0,1,1,-1,2,0,0,0,0,1,0,0,7,0,13,13:44,0,1,0,7,2,1,2
Dakota Mermis,31,D,4,0,1,1,-2,2,0,0,0,0,1,0,0,6,0,13,15:12,0,0,,4,3,0,5
Elvis Merzļikins,30,G,53,0,1,1,0,8,0,0,0,0,1,0,0,0,,0,59:50:00,0,0,,0,0,0,8
Ian Mitchell,26,D,15,0,1,1,-2,2,0,0,0,0,1,0,0,10,0,26,15:36,0,0,,23,5,5,13
Sam Montembeault,28,G,62,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,57:00:00,0,0,,0,0,0,6
Ian Moore,23,D,3,0,1,1,1,0,0,0,0,0,1,0,0,4,0,9,13:38,0,0,,1,1,0,1
Sam Morton,,F,1,1,0,1,1,0,1,0,0,1,0,0,0,1,100,3,12:25,4,3,57.1,1,4,0,0
Bradly Nadeau,19,LW,2,0,1,1,0,0,0,0,0,0,1,0,0,8,0,8,11:29,0,0,,1,2,0,0
Jake Oettinger,26,G,58,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,58:48:00,0,0,,0,0,0,14
Ville Ottavainen,22,D,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,4,14:24,0,0,,1,3,0,0
Zayne Parekh,18,D,1,1,0,1,3,2,1,0,0,0,0,0,0,2,50,3,20:31,0,0,,1,1,0,1
Isaak Phillips,23,D,3,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,5,11:54,0,0,,4,3,0,2
Calvin Pickard,32,G,36,0,1,1,0,0,0,0,0,0,1,0,0,0,,0,52:16:00,0,0,,0,0,0,15
Andrew Poturalski,31,C,3,0,1,1,-1,2,0,0,0,0,1,0,0,5,0,6,14:27,21,22,48.8,4,0,0,1
Samuel Poulin,23,RW,7,0,1,1,1,2,0,0,0,0,1,0,0,3,0,11,10:04,0,0,,0,10,2,7
Jonathan Quick,39,G,24,0,1,1,0,2,0,0,0,0,0,0,1,0,,0,55:14:00,0,0,,0,0,0,7
Calum Ritchie,20,C,7,1,0,1,-7,0,1,0,0,0,0,0,0,11,9.1,20,12:47,3,4,42.9,2,6,1,4
Isak Rosen,21,RW,8,0,1,1,-3,0,0,0,0,0,1,0,0,8,0,15,9:38,0,0,,2,3,1,5
Chad Ruhwedel,34,D,5,0,1,1,2,0,0,0,0,0,1,0,0,1,0,7,14:06,0,0,,5,8,1,4
Ilya Samsonov,27,G,29,0,1,1,0,4,0,0,0,0,1,0,0,0,,0,60:11:00,0,0,,0,0,0,4
Juuse Saros,29,G,58,0,1,1,0,4,0,0,0,0,0,1,0,0,,0,57:54:00,0,0,,0,0,0,24
