Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EVG,PPG,SHG,GWG,EV,PP,SH,SOG,SPCT,TSA,ATOI,FOW,FOL,FO%,BLK,HIT,TAKE,GIVE
Adam Fantilli,20,C,82,31,23,54,4,18,28,2,1,3,20,2,1,191,16.2,394,17:29,420,598,41.3,56,113,23,89
Anders Lee,34,LW,82,29,25,54,3,35,24,5,0,3,21,4,0,233,12.4,392,17:04,12,15,44.4,39,121,12,67
Tyler Toffoli,32,C,78,30,24,54,-21,14,24,6,0,1,15,9,0,233,12.9,410,16:56,13,11,54.2,32,54,18,52
Mats Zuccarello,37,LW,69,19,35,54,0,22,16,3,0,6,22,13,0,151,12.6,294,19:39,14,21,40,48,32,29,77
Erik Karlsson,34,D,82,11,42,53,-24,20,9,2,0,1,29,13,0,191,5.8,507,23:14,0,0,,94,29,44,140
Ryan McLeod,25,C,79,20,33,53,13,16,17,0,3,2,28,2,3,97,20.6,199,16:50,630,574,52.3,35,17,26,70
Timo Meier,28,RW,80,26,27,53,7,58,19,7,0,5,21,6,0,238,10.9,525,17:52,8,18,30.8,65,141,22,73
Ryan O'Reilly,33,C,79,21,32,53,-23,24,12,9,0,3,24,8,0,151,13.9,270,18:59,746,593,55.7,72,20,31,64
Mikhail Sergachev,26,D,77,15,38,53,-8,32,11,3,1,3,18,20,0,132,11.4,367,25:07:00,0,0,,140,61,32,126
Steven Stamkos,34,C,82,27,26,53,-36,48,13,14,0,6,19,7,0,174,15.5,356,18:00,395,399,49.7,46,66,18,57
Carter Verhaeghe,29,C,81,20,33,53,-14,46,15,5,0,5,22,11,0,241,8.3,481,17:52,16,28,36.4,28,95,23,81
Jason Zucker,33,LW,73,21,32,53,4,57,10,11,0,4,22,10,0,143,14.7,279,16:00,42,64,39.6,22,68,20,73
Pavel Dorofeyev,24,LW,82,35,17,52,2,30,22,13,0,7,13,4,0,254,13.8,436,16:32,3,13,18.8,37,28,24,55
Mason McTavish,22,C,76,22,30,52,0,38,16,6,0,2,24,6,0,180,12.2,352,16:53,487,474,50.7,31,70,18,51
Ivan Barbashev,29,C,70,23,28,51,26,10,21,2,0,3,27,1,0,111,20.7,231,16:48,12,21,36.4,33,104,18,78
Sam Bennett,28,C,76,25,26,51,-15,90,18,7,0,4,22,4,0,241,10.4,422,17:27,450,523,46.2,45,145,27,57
John Carlson,35,D,79,5,46,51,17,22,4,1,0,0,33,13,0,167,3,393,23:34,0,0,,131,49,36,112
Juraj Slafkovsky,20,LW,79,18,33,51,4,45,13,5,0,1,28,5,0,133,13.5,286,17:21,5,14,26.3,62,194,16,71
Chandler Stephenson,30,C,78,13,38,51,-9,24,10,1,2,1,21,17,0,72,18.1,129,19:31,760,714,51.6,50,33,30,58
Brad Marchand,36,LW,71,23,28,51,-7,64,18,5,0,5,19,8,1,194,11.9,380,18:19,5,8,38.5,34,81,21,86
Brock Boeser,27,RW,75,25,25,50,-25,16,16,9,0,3,14,11,0,145,17.2,321,18:10,15,40,27.3,34,76,18,37
Conor Garland,28,RW,81,19,31,50,-13,52,12,7,0,4,22,9,0,171,11.1,355,18:39,5,13,27.8,58,49,20,63
Claude Giroux,37,C,81,15,35,50,-8,18,11,4,0,3,20,14,1,138,10.9,237,18:12,600,376,61.5,41,64,19,66
Thomas Harley,23,D,78,16,34,50,32,16,15,1,0,3,20,14,0,171,9.4,396,23:23,0,0,,110,33,29,118
Evgeni Malkin,38,C,68,16,34,50,-24,42,12,4,0,3,22,12,0,125,12.8,253,17:47,290,343,45.8,48,32,30,79
Cole Perfetti,23,C,82,18,32,50,14,20,13,5,0,2,22,10,0,143,12.6,284,15:11,21,46,31.3,45,71,20,55
Brayden Schenn,33,C,82,18,32,50,3,61,16,2,0,5,27,5,0,144,12.5,278,17:34,618,564,52.3,55,194,13,56
Jamie Benn,35,LW,80,16,33,49,3,70,15,1,0,4,24,9,0,136,11.8,255,15:18,296,233,56,45,114,13,58
Ryan Nugent-Hopkins,31,C,78,20,29,49,4,24,11,7,2,5,16,13,0,164,12.2,293,18:58,270,287,48.5,48,26,29,49
Jaden Schwartz,32,C,81,26,23,49,-6,24,20,6,0,6,19,4,0,194,13.4,356,17:53,34,34,50,42,43,43,60
Jake DeBrusk,28,LW,82,28,20,48,-15,18,14,14,0,4,15,5,0,171,16.4,304,16:39,11,18,37.9,48,96,13,47
Kyle Palmieri,33,RW,82,24,24,48,-17,20,19,5,0,2,19,4,1,169,14.2,363,18:31,13,20,39.4,48,54,18,55
Andrei Svechnikov,24,RW,72,20,28,48,-8,59,10,10,0,2,20,8,0,180,11.1,378,17:07,1,3,25,22,148,17,99
Jakob Chychrun,26,D,74,20,27,47,17,52,15,5,0,6,17,10,0,179,11.2,458,21:04,0,0,,87,59,35,80
Matthew Coronato,22,RW,77,24,23,47,6,25,19,5,0,4,11,12,0,180,13.3,375,17:35,68,91,42.8,37,36,23,48
Elias Lindholm,30,C,82,17,30,47,-4,14,14,2,1,3,16,12,2,151,11.3,301,18:05,759,615,55.2,79,114,22,39
Mason Marchment,29,F,62,22,25,47,15,53,17,5,0,4,20,5,0,134,16.4,257,15:20,12,13,48,21,79,22,58
Dmitri Voronkov,24,LW,73,23,24,47,17,55,15,8,0,1,21,3,0,154,14.9,260,16:47,37,52,41.6,47,71,11,58
MacKenzie Weegar,31,D,81,8,39,47,18,33,4,4,0,0,20,17,2,184,4.3,474,24:10:00,0,1,0,192,223,52,159
Pavel Zacha,27,C,82,14,33,47,-8,21,10,2,2,5,27,5,1,132,10.6,257,19:04,393,346,53.2,26,63,24,62
Dylan Cozens,23,C,82,16,31,47,-17,68,11,5,0,2,24,7,0,188,8.5,332,17:04,587,573,50.6,45,205,15,68
Tyler Bertuzzi,29,LW,82,23,23,46,-39,51,13,10,0,1,13,10,0,131,17.6,246,16:00,22,25,46.8,28,60,20,53
Warren Foegele,28,LW,82,24,22,46,36,24,23,1,0,7,21,1,0,199,12.1,370,16:10,24,35,40.7,40,74,33,67
Barrett Hayton,24,C,82,20,26,46,-6,45,13,7,0,7,18,8,0,155,12.9,306,16:06,552,468,54.1,44,31,16,46
Jake Neighbours,22,LW,82,22,24,46,0,56,16,6,0,3,18,6,0,122,18,196,15:54,5,13,27.8,56,173,14,51
Moritz Seider,23,D,82,8,38,46,-5,40,4,4,0,0,18,20,0,162,4.9,368,25:04:00,0,0,,181,212,30,85
Pius Suter,28,F,81,25,21,46,2,18,22,2,1,3,17,3,1,138,18.1,263,17:21,373,501,42.7,43,59,19,52
Oliver Bjorkstrand,29,RW,79,21,25,46,2,18,16,5,0,2,18,7,0,154,13.6,303,15:09,3,7,30,26,74,26,65
Leo Carlsson,20,C,76,20,25,45,6,14,15,4,1,5,21,3,1,114,17.5,227,16:14,302,428,41.4,36,24,18,51
Thomas Chabot,28,D,80,9,36,45,17,24,8,1,0,1,29,7,0,179,5,447,23:01,0,0,,145,58,31,99
Sean Couturier,32,C,79,15,30,45,1,41,14,1,0,2,27,3,0,155,9.7,258,17:18,670,525,56.1,45,54,28,78
William Cuylle,22,LW,82,20,25,45,12,42,16,2,2,3,23,1,1,152,13.2,275,15:05,11,22,33.3,50,301,9,48
Shayne Gostisbehere,31,D,70,7,38,45,1,52,3,4,0,0,15,23,0,122,5.7,330,18:31,0,0,,66,41,36,76
Simon Holmström,23,RW,75,20,25,45,5,8,17,2,1,3,18,4,3,96,20.8,208,16:52,1,4,20,55,27,13,48
Alexis Lafrenière,23,LW,82,17,28,45,-13,38,15,2,0,4,26,2,0,153,11.1,302,17:00,13,26,33.3,27,119,25,46
Artturi Lehkonen,29,LW,69,27,18,45,36,34,25,1,1,5,14,4,0,148,18.2,292,20:23,7,9,43.8,39,33,12,55
Anton Lundell,23,C,79,17,28,45,17,36,13,2,2,1,24,4,0,158,10.8,317,16:43,542,481,53,54,110,27,60
Elias Pettersson,26,C,64,15,30,45,-10,14,8,7,0,1,21,9,0,109,13.8,251,18:40,458,506,47.5,77,74,22,45
Will Smith,19,C,74,18,27,45,-15,18,13,5,0,1,20,7,0,127,14.2,277,15:51,65,113,36.5,16,13,13,73
Frank Vatrano,30,LW,81,21,24,45,-9,80,17,3,1,1,22,2,0,234,9,415,17:33,16,18,47.1,69,169,13,52
Cutter Gauthier,21,LW,82,20,24,44,8,20,18,2,0,3,20,4,0,190,10.5,410,14:09,21,35,37.5,51,68,22,81
Luke Hughes,21,D,71,7,37,44,-9,16,7,0,0,1,21,16,0,121,5.8,328,21:09,0,1,0,60,19,33,86
Zach Hyman,32,LW,73,27,17,44,9,32,21,6,0,7,11,6,0,210,12.9,373,18:53,2,3,40,24,59,14,43
Devon Toews,30,D,76,10,34,44,30,26,9,1,0,4,32,2,0,138,7.2,342,24:35:00,0,0,,103,40,35,81
Shane Wright,21,C,79,19,25,44,4,18,12,7,0,2,19,6,0,91,20.9,204,14:04,369,462,44.4,62,54,14,73
Kaapo Kakko,23,RW,79,14,30,44,-2,38,10,4,0,2,26,4,0,117,12,236,15:37,50,50,50,28,68,18,59
Matty Beniers,22,C,82,20,23,43,0,14,15,5,0,2,19,4,0,147,13.6,322,18:41,569,624,47.7,77,42,28,72
Phillip Danault,31,C,80,8,35,43,20,26,7,1,0,3,34,0,1,122,6.6,239,17:40,635,581,52.2,73,83,25,86
Tyson Foerster,23,RW,81,25,18,43,-9,49,19,6,0,2,16,2,0,142,17.6,287,16:52,0,2,0,54,75,16,41
Jackson LaCombe,24,D,75,14,29,43,0,28,12,2,0,2,21,7,1,134,10.4,268,22:18,0,1,0,129,69,35,78
Owen Tippett,25,RW,77,20,23,43,-12,16,20,0,0,2,16,7,0,188,10.6,424,16:00,7,11,38.9,63,115,32,58
Alex Laferriere,23,RW,77,19,23,42,22,20,17,2,0,4,21,2,0,193,9.8,384,16:32,36,61,37.1,43,124,14,48
Jean-Gabriel Pageau,32,C,79,14,28,42,4,23,11,2,1,1,22,3,3,120,11.7,232,17:00,589,399,59.6,57,140,25,47
Taylor Hall,33,LW,77,18,24,42,-14,36,13,5,0,3,20,4,0,144,12.5,307,15:10,43,50,46.2,42,43,34,76
Bobby Brink,23,RW,79,12,29,41,-11,22,10,2,0,2,27,2,0,105,11.4,213,14:50,17,40,29.8,30,98,21,58
Brandon Montour,30,D,81,18,23,41,-22,70,13,5,0,4,17,6,0,231,7.8,531,22:59,0,0,,100,84,25,97
