Player,GP,BLK,HIT,TAKE,GIVE
Nick Bjugstad,66,29,104,12,39
Jonny Brodzinski,51,19,27,11,26
Michael Carcone,53,11,48,6,38
Tony DeAngelo,35,42,17,6,44
Dylan DeMelo,82,112,137,29,89
Josh Doan,51,14,45,10,25
Pontus Holmberg,68,53,46,9,26
Boone Jenner,26,18,43,4,24
Parker Kelly,80,72,161,17,41
Steven Lorentz,80,55,199,12,25
Pat Maroon,68,9,102,4,37
Emil Martinsen Lilleberg,76,61,114,12,56
Pavel Mintyukov,68,92,81,13,62
Connor Murphy,68,160,117,17,64
Nicklaus Perbix,74,67,50,21,62
Rasmus Ristolainen,63,94,97,25,52
Nate Schmidt,80,71,82,28,88
Jakob Pelletier,49,19,47,11,25
Uvis Balinskis,76,55,83,23,49
Mitchell Chaffee,66,21,133,10,29
Jalen Chatfield,79,64,64,26,82
Lawson Crouse,81,46,193,16,59
Kaiden Guhle,55,124,104,14,47
Erik Gustafsson,60,44,28,10,75
Emil Heineman,62,24,173,8,33
Mattias Janmark,80,35,45,20,47
Luke Kunin,75,77,187,12,30
Olli Määttä,77,124,25,26,104
Matias Maccelli,55,10,6,11,46
Chris Tanev,75,189,20,10,80
Alexey Toropchenko,80,53,223,6,24
Craig Smith,59,31,56,16,38
Jack Drury,72,50,45,12,34
Zach Aston-Reese,79,58,179,11,42
Colin Blackwell,63,23,84,15,34
Casey Cizikas,82,66,202,18,42
Ian Cole,82,211,106,25,118
Drew Doughty,30,45,26,7,48
Mario Ferraro,78,125,150,37,77
A.J. Greer,81,30,222,8,43
Cole Koepke,73,26,177,8,33
Johnathan Kovacevic,81,99,102,28,100
Sean Kuraly,82,45,163,17,38
Brett Leason,62,44,64,7,30
Timothy Liljegren,68,111,64,15,64
Jamie Oleksiak,82,159,74,23,89
Andrew Peeke,76,126,105,15,98
Brett Pesce,72,138,24,25,62
Fedor Svechkov,52,24,32,6,45
Tomáš Tatar,74,19,56,7,35
Cameron York,66,126,60,25,90
Joe Veleno,74,44,139,13,44
Mark Jankowski,60,34,27,6,35
Oskar Back,73,35,28,12,54
Nick Blankenburg,60,74,53,21,50
Zach Bogosian,81,80,81,22,68
Connor Clifton,73,116,208,26,67
Jason Dickinson,59,53,102,13,26
Brenden Dillon,82,108,191,8,74
Robby Fabbri,44,29,58,14,30
Radko Gudas,81,178,261,15,104
David Perron,43,9,72,13,25
Nathan Walker,73,61,281,10,43
Sean Walker,82,90,91,40,67
Urho Vaakanainen,51,49,19,10,40
Michael Eyssimont,77,23,110,12,33
Juuso Pärssinen,48,29,86,4,18
Morgan Barron,74,38,122,23,31
Yegor Chinakhov,30,10,47,4,18
Nick Cousins,50,26,85,5,23
Pierre Engvall,62,12,47,7,36
Radek Faksa,70,50,115,13,32
Trent Frederic,58,29,157,12,32
Zachary L'Heureux,62,25,198,14,33
Isac Lundeström,79,68,48,15,26
Sam Malinski,76,107,57,29,68
Josh Manson,48,59,105,20,74
Colin Miller,60,50,84,12,53
David Savard,75,180,56,18,51
Ryan Suter,82,109,39,15,64
Yakov Trenin,76,32,241,12,51
Egor Zamula,63,91,24,15,52
William Borgen,84,117,122,22,73
Conor Timmins,68,90,55,11,59
Conor Geekie,52,25,97,8,29
Mathieu Joseph,60,36,121,16,25
Dakota Joshua,57,29,193,12,36
Mark Kastelic,61,39,218,12,26
Philipp Kurashev,51,16,30,13,27
Ilya Lyubushkin,80,136,84,20,109
John Marino,35,46,9,10,32
Michael McCarron,74,61,149,15,29
J.J. Moser,54,70,34,23,45
Mattias Samuelsson,62,93,105,11,55
Logan Stanley,63,76,88,11,59
Kasperi Kapanen,67,14,88,9,42
Nico Sturm,62,34,107,7,20
Jakub Vrána,39,8,19,6,21
Adam Boqvist,35,19,13,4,21
Jacob Trouba,77,208,164,29,90
Ben Chiarot,81,142,127,26,86
Ty Emberson,76,97,125,32,47
Drew Helleson,56,73,99,17,47
Tanner Jeannot,67,37,211,3,36
David Kämpf,59,26,50,17,30
Tye Kartye,63,29,175,4,24
Dmitry Kulikov,70,71,114,32,78
Ryan Lomberg,80,19,120,11,18
Denton Mateychuk,45,63,26,19,35
Max Pacioretty,37,14,105,5,27
Jayden Struble,56,54,124,23,51
Zach Whitecloud,74,103,117,14,74
Artem Zub,56,118,58,19,50
Justin Barron,62,83,80,14,54
Carson Soucy,75,106,115,17,78
Noel Acciari,79,100,180,14,33
Declan Chisholm,66,69,33,27,83
Sam Colangelo,32,17,67,1,17
Nicolas Hague,68,74,82,18,56
Alexander Holtz,53,15,39,3,35
Kevin Labanc,34,14,29,6,14
Trevor Lewis,60,35,100,4,22
Alec Martinez,44,81,24,9,41
Brayden Pachal,76,83,159,16,64
Cole Smith,71,29,163,18,41
Henry Thrun,60,66,43,12,37
Brandon Carlo,83,157,90,21,107
Marat Khusnutdinov,75,47,55,6,47
John Beecher,78,71,85,14,49
William Carrier,43,12,156,11,19
Anthony Duclair,44,21,26,9,43
Sean Durzi,30,52,15,11,46
Derek Forbort,54,77,65,8,55
Collin Graf,33,15,20,7,15
Zachary Jones,46,46,28,16,40
Kyle MacLean,81,29,108,12,26
Matthew Poitras,33,10,12,14,28
Aatu Räty,33,7,80,2,8
Elmer Söderblom,26,12,43,5,21
Alexandre Texier,31,11,20,5,13
Jakub Lauko,56,39,119,6,25
Nathan Bastian,59,27,138,2,24
Simon Benoit,78,111,204,16,70
Brett Berard,35,20,53,7,18
T.J. Brodie,54,58,16,14,46
Dennis Cholowski,39,33,5,8,38
Mathew Dumba,63,60,70,16,62
Adam Klapka,31,25,108,6,11
Tyler Kleven,79,97,105,30,64
Kaedan Korczak,40,40,59,7,36
Beck Malenstyn,76,63,191,10,39
Kevin Rooney,70,39,109,9,30
Jack Thompson,31,54,12,7,37
Jesse Puljujärvi,31,9,80,3,15
Vinnie Hinostroza,38,12,41,8,31
Connor Dewar,48,37,129,6,36
Henri Jokiharju,60,53,50,13,64
Jordan Oesterle,37,57,27,15,51
Cam Atkinson,39,10,15,3,12
Lian Bichsel,38,23,155,4,22
Marc Del Gaizo,46,53,71,19,38
Adam Edstrom,51,34,94,7,19
Marc Gatcomb,39,23,149,7,12
Carl Grundström,56,18,172,5,35
Joel Hanley,53,90,55,7,67
Albert Johansson,61,83,70,15,54
Tyson Jost,39,17,46,6,9
Josh Mahura,64,54,89,10,41
Scott Mayfield,66,105,89,27,59
Daniil Miromanov,44,55,19,11,42
Tyler Motte,55,48,72,16,31
Shakir Mukhamadullin,30,51,25,5,33
Tomáš Nosek,59,24,83,5,20
Jan Rutta,54,81,40,11,55
Jonas Siegenthaler,55,92,75,14,59
Scott Perunovich,35,37,15,10,29
Nolan Allan,43,48,61,8,22
Erik Brännström,28,39,14,6,26
Seamus Casey,14,7,10,2,16
Jake Christiansen,68,65,50,8,51
Luca Del Bel Belluz,15,12,4,3,9
Ty Dellandrea,68,47,163,9,33
Barclay Goodrow,77,60,150,26,54
Jordan Greenway,34,29,100,7,23
Justin Holl,73,78,35,8,66
Ivan Ivan,40,9,12,2,22
Wyatt Kaiser,57,93,54,23,60
Justin Kirkland,21,16,45,3,8
Rasmus Kupari,59,31,77,9,30
Hendrix Lapierre,27,14,12,5,17
Brock McGinn,26,28,61,7,8
Jacob Moverare,49,60,31,7,24
Jeff Petry,44,77,51,16,51
Matt Rempe,42,14,117,4,8
Cole Schwindt,42,17,41,6,21
Miles Wood,37,15,48,6,26
Calvin de Haan,47,63,71,7,35
Jimmy Vesey,43,12,32,7,23
Victor Mancini,31,41,38,3,29
Jacob Bernard-Docker,40,50,30,3,22
Emil Andrae,42,50,46,16,44
Jake Bean,64,43,22,27,46
Jacob Bryson,48,51,15,8,33
Colton Dach,25,12,86,13,12
Justin Dowling,52,22,51,14,29
Christian Fischer,46,19,93,4,15
Haydn Fleury,39,56,48,3,39
Ethen Frank,24,16,11,5,10
Luke Glendening,77,58,105,6,19
Travis Hamonic,59,92,73,17,62
Samuel Helenius,50,16,150,4,22
Calle Järnkrok,19,9,15,1,4
Ville Koivunen,8,8,1,3,6
Klim Kostin,35,17,111,5,27
Sam Lafferty,60,16,89,5,22
Hampus Lindholm,17,17,5,14,30
Anthony Mantha,13,8,16,3,7
Mikael Pyyhtia,47,39,25,9,26
Max Sasson,29,13,18,6,12
Troy Stecher,66,66,35,11,50
Tyler Tucker,38,39,81,13,28
Parker Wotherspoon,55,66,75,15,68
Noah Gregor,52,33,94,7,17
Vladislav Kolyachonok,35,31,27,6,32
Luke Schenn,76,104,300,16,63
Daniel Sprong,30,4,32,4,14
Nils Åman,19,2,22,3,3
Ethan Del Mastro,24,21,40,6,25
Nick DeSimone,20,14,14,5,25
Phillip Di Giuseppe,20,6,54,1,4
Zemgus Girgensons,82,50,174,10,30
David Gustafsson,36,18,19,2,7
Jansen Harkins,62,41,136,15,38
Matthew Highmore,41,19,50,4,23
Jack Johnson,41,35,21,8,19
Linus Karlsson,23,8,27,3,6
Jonathan Lekkerimaki,24,6,16,4,8
Artyom Levshunov,18,20,19,4,26
Jonathon Merrill,70,85,41,14,64
Scott Morrow,14,16,3,5,21
Nikita Nesterenko,20,7,46,2,7
Jani Nyman,12,7,13,2,5
Anthony Richard,15,8,8,3,6
Derek Ryan,36,21,25,9,11
Landon Slaggert,33,13,25,9,12
Brendan Smith,32,23,41,7,28
Arber Xhekaj,70,63,180,16,59
Dennis Gilbert,29,36,63,6,13
Oliver Wahlstrom,43,30,34,5,11
Rodrigo Abols,22,12,25,4,14
Isaiah George,33,34,14,6,26
Jordan Harris,33,35,23,4,16
Tyson Kozak,21,23,26,2,10
Curtis Lazar,48,17,107,3,11
Nick Leddy,31,26,5,11,43
