0,1,2,Player,Salary
Matt,Grzelcyk,2750000,Matt Grzelcyk,2.75
Brett,Kulak,2750000,Brett Kulak,2.75
Luke,Kunin,2750000,Luke Kunin,2.75
Andrew,Peeke,2750000,Andrew Peeke,2.75
Jan,Rutta,2750000,Jan Rutta,2.75
Zach,Whitecloud,2750000,Zach Whitecloud,2.75
Nick,Seeler,2700000,Nick Seeler,2.7
William,Borgen,2700000,William Borgen,2.7
Martin,Fehervary,2675000,Martin Fehervary,2.675
Tanner,Jeannot,2665000,Tanner Jeannot,2.665
Barrett,Hayton,2650000,Barrett Hayton,2.65
Noah,Cates,2625000,Noah Cates,2.625
Michael,Amadio,2600000,Michael Amadio,2.6
Casey,Cizikas,2500000,Casey Cizikas,2.5
Sean,Kuraly,2500000,Sean Kuraly,2.5
Jonathan,Drouin,2500000,Jonathan Drouin,2.5
Miles,Wood,2500000,Miles Wood,2.5
Tucker,Poolman,2500000,Tucker Poolman,2.5
Niko,Mikkola,2500000,Niko Mikkola,2.5
Dante,Fabbro,2500000,Dante Fabbro,2.5
Cody,Glass,2500000,Cody Glass,2.5
Alexander,Romanov,2500000,Alexander Romanov,2.5
Lars,Eller,2450000,Lars Eller,2.45
Jacob,Middleton,2450000,Jacob Middleton,2.45
Jesper,Fast,2400000,Jesper Fast,2.4
David,Kampf,2400000,David Kampf,2.4
Kaapo,Kakko,2400000,Kaapo Kakko,2.4
Garnet,Hathaway,2375000,Garnet Hathaway,2.375
Alexis,Lafreniere,2325000,Alexis Lafreniere,2.325
Jamie,Drysdale,2300000,Jamie Drysdale,2.3
Trent,Frederic,2300000,Trent Frederic,2.3
Nicolas,Hague,2294150,Nicolas Hague,2.29415
Dylan,Holloway,2290457,Dylan Holloway,2.290457
Philipp,Kurashev,2250000,Philipp Kurashev,2.25
Cole,Sillinger,2250000,Cole Sillinger,2.25
Evgenii,Dadonov,2250000,Evgenii Dadonov,2.25
Danton,Heinen,2250000,Danton Heinen,2.25
Braden,Schneider,2200000,Braden Schneider,2.2
Mason,Appleton,2166667,Mason Appleton,2.166667
Nick,Bjugstad,2100000,Nick Bjugstad,2.1
Calle,Jarnkrok,2100000,Calle Jarnkrok,2.1
Frederick,Gaudreau,2100000,Frederick Gaudreau,2.1
Morgan,Frost,2100000,Morgan Frost,2.1
Alexandre,Texier,2100000,Alexandre Texier,2.1
Ryan,McLeod,2100000,Ryan McLeod,2.1
Connor,McMichael,2100000,Connor McMichael,2.1
Yegor,Chinakhov,2100000,Yegor Chinakhov,2.1
Klim,Kostin,2000000,Klim Kostin,2
Morgan,Geekie,2000000,Morgan Geekie,2
Nico,Sturm,2000000,Nico Sturm,2
Marcus,Johansson,2000000,Marcus Johansson,2
Vladislav,Namestnikov,2000000,Vladislav Namestnikov,2
Erik,Gustafsson,2000000,Erik Gustafsson,2
William,Carrier,2000000,William Carrier,2
Ryan,Donato,2000000,Ryan Donato,2
Sam,Lafferty,2000000,Sam Lafferty,2
Jeremy,Lauzon,2000000,Jeremy Lauzon,2
Kevin,Stenlund,2000000,Kevin Stenlund,2
Noel,Acciari,2000000,Noel Acciari,2
Ryan,Lomberg,2000000,Ryan Lomberg,2
Vincent,Desharnais,2000000,Vincent Desharnais,2
Juuso,Valimaki,2000000,Juuso Valimaki,2
Sonny,Milano,1900000,Sonny Milano,1.9
Brett,Howden,1900000,Brett Howden,1.9
Ryan,Poehling,1900000,Ryan Poehling,1.9
Blake,Lizotte,1850000,Blake Lizotte,1.85
Brandon,Duhaime,1850000,Brandon Duhaime,1.85
Pavel,Dorofeyev,1835000,Pavel Dorofeyev,1.835
Kent,Johnson,1800000,Kent Johnson,1.8
Tomas,Tatar,1800000,Tomas Tatar,1.8
Teddy,Blueger,1800000,Teddy Blueger,1.8
Carl,Grundstrom,1800000,Carl Grundstrom,1.8
John,Klingberg,1755056,John Klingberg,1.755056
Nicolas,Deslauriers,1750000,Nicolas Deslauriers,1.75
Jake,Bean,1750000,Jake Bean,1.75
Jack,Drury,1725000,Jack Drury,1.725
Yegor,Zamula,1700000,Yegor Zamula,1.7
Jake,Evans,1700000,Jake Evans,1.7
Pius,Suter,1600000,Pius Suter,1.6
Cameron,York,1600000,Cameron York,1.6
Jack,McBain,1599999,Jack McBain,1.599999
Isac,Lundestrom,1500000,Isac Lundestrom,1.5
